Cell Type	TF/DNase/HistoneMark	Treatment	DeepSEA ROC AUC	DanQ ROC AUC	DanQ-JASPAR ROC AUC	DeepSEA PR AUC	DanQ PR AUC	DanQ-JASPAR PR AUC
8988T	DNase	None	0.910351436	0.9132489837	0.9149074326	0.4011462495	0.4184384446	0.423433222
AoSMC	DNase	None	0.924485649	0.9277664657	0.9313556897	0.4396006789	0.4571908589	0.4692227377
Chorion	DNase	None	0.896293207	0.9002669789	0.9008547544	0.3207430835	0.3384839394	0.3367010903
CLL	DNase	None	0.928261659	0.9303348552	0.9328266735	0.3591878664	0.3703775688	0.377666063
Fibrobl	DNase	None	0.837919632	0.8407263803	0.8431350521	0.3407087383	0.3526279102	0.3572207165
FibroP	DNase	None	0.883256473	0.8872928853	0.8904381711	0.4207757536	0.435208343	0.4432716665
Gliobla	DNase	None	0.912435909	0.9166245036	0.9191443022	0.4430148522	0.4603111126	0.4673757908
GM12891	DNase	None	0.929741168	0.9335075661	0.9360848499	0.4205901591	0.4420742447	0.4496632368
GM12892	DNase	None	0.924307003	0.9272498358	0.929858606	0.3934597488	0.4125479171	0.4181989943
GM18507	DNase	None	0.927615841	0.9311229067	0.935974931	0.4168048465	0.4391884565	0.4462546367
GM19238	DNase	None	0.918760062	0.922044407	0.9266793813	0.4101522523	0.4301530102	0.4382216649
GM19239	DNase	None	0.926360134	0.9294662256	0.9331195436	0.4099622592	0.4274209135	0.4351235014
GM19240	DNase	None	0.89967126	0.9027631929	0.9063470529	0.3873713707	0.4020892388	0.4093786312
H9ES	DNase	None	0.939249589	0.9457047554	0.9489597902	0.4914499596	0.5212930441	0.5316261705
HeLa-S3	DNase	IFNa4h	0.906091046	0.913567888	0.915116739	0.3954965404	0.4161457523	0.422862266
Hepatocytes	DNase	None	0.881975064	0.8856014479	0.8869534689	0.285556575	0.3026511231	0.3029602655
HPDE6-E6E7	DNase	None	0.928321024	0.9367766145	0.9394902337	0.4249672333	0.4521506013	0.4630783669
HSMM_emb	DNase	None	0.932890161	0.9370780078	0.9399435792	0.4442754512	0.4616422085	0.4713937018
HTR8svn	DNase	None	0.924769549	0.929474889	0.9321130699	0.4173693055	0.4366931565	0.444213378
Huh-7.5	DNase	None	0.901924575	0.9077060399	0.9125108613	0.3973713965	0.4176665004	0.4255680615
Huh-7	DNase	None	0.917159302	0.9225321536	0.9273083034	0.4167407558	0.4414127698	0.4493165729
iPS	DNase	None	0.944668102	0.9486102376	0.9505350894	0.5074322867	0.5310202761	0.5377191426
Ishikawa	DNase	Estradiol_100nM_1hr	0.906442429	0.9157243973	0.9210888547	0.4169561361	0.4480376419	0.4561170362
Ishikawa	DNase	4OHTAM_20nM_72hr	0.908234784	0.916222401	0.9215287972	0.4229101282	0.4495969719	0.4601356127
LNCaP	DNase	androgen	0.917926355	0.9272455128	0.9294352403	0.4195467664	0.4511531281	0.4547390149
MCF-7	DNase	Hypoxia_LacAcid	0.902486893	0.9121498816	0.9141306724	0.4006126381	0.4281946272	0.4321633308
Medullo	DNase	None	0.864042242	0.8664238813	0.8692186275	0.3158031211	0.3271526972	0.3335229698
Melano	DNase	None	0.847363066	0.8506737609	0.8531173679	0.3536066271	0.3662819206	0.3742151035
Myometr	DNase	None	0.916022356	0.921329115	0.9236917038	0.4186415799	0.4397429048	0.4490826789
Osteobl	DNase	None	0.849303246	0.8538104396	0.8558780011	0.3503940085	0.363640452	0.367974622
PanIsletD	DNase	None	0.914119582	0.9188202336	0.922129327	0.4575887112	0.4790670974	0.4876371989
PanIslets	DNase	None	0.89216587	0.8965995005	0.8972274346	0.3707545946	0.3899416943	0.3931002212
pHTE	DNase	None	0.89254097	0.9001301656	0.9012358993	0.4235885927	0.4500610376	0.4532105877
ProgFib	DNase	None	0.91525081	0.9190633289	0.9221193695	0.440569619	0.4625540711	0.4698115384
